Name,WMC,TCC,LOCC,NBM,GOD LASS,CBO,ATFD,NOAP,NOA,NOM,FDP,CM,CC,NOAM,AMW,Brainlass
MessageBatchDrainTest,14,0.36,141,0,0,0,0,0,10,8,0,1,0,0,1.75,0
MessageBatchDrainTest2,16,0.39,157,0,0,0,0,0,10,9,0,1,0,0,1.78,0
MessageDispatcherRSVPTest,14,1,169,0,0,7,0,0,4,8,0,0,0,0,1.75,0
MyDiagnosticsHandler,4,0,10,0,0,0,0,0,0,4,0,2,1,0,1,0
MessageSizeTest,10,0.07,95,0,0,3,2,0,6,6,2,0,0,0,1.67,0
BasePerson,5,0.33,26,0,0,1,0,0,2,5,0,0,0,0,1,0
Person,3,1,13,0,0,1,0,0,0,3,0,0,0,0,1,0
IncorrectSizeObject,7,0.5,31,0,0,0,0,0,1,6,0,0,0,0,1.17,0
NioMessageTest,30,0.07,162,0,0,2,3,0,3,17,2,0,0,0,1.76,0
PartialOutputStreamTest,29,0.2,176,0,0,5,0,0,1,12,0,0,0,0,2.42,0
ProgrammaticApiTest,3,0.33,59,0,0,3,5,0,1,3,3,0,0,0,1,0
MockProtocol1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
MockProtocol2,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0
PropertyConvertersTest,9,0,62,0,0,1,1,0,0,5,1,0,0,0,1.8,0
ReceiverAdapterTest,5,0,43,0,0,1,0,0,0,3,0,0,0,0,1.67,0
ReentrantLockTest,11,0.2,54,0,0,0,0,1,1,6,0,0,0,0,1.83,0
SeqnoComparatorTest,5,1,67,0,0,1,1,0,1,5,1,0,0,0,1,0
SetPropertyTest,3,0.33,26,0,0,0,0,1,1,3,0,0,0,0,1,0
VersionTest,11,0,74,0,0,1,0,0,0,10,0,0,0,0,1.1,0
CheckMonotonicallyIncreasingNumbers,12,1,57,0,0,0,0,0,0,3,0,0,0,0,4,0
FlowControlTest,19,0.8,130,0,0,0,0,0,2,7,0,0,0,0,2.71,0
LargeState,30,0.54,164,0,0,0,0,12,12,9,0,0,0,0,3.33,0
