,Name,CM,CC,CINT,MAXNESTING,NOAV,CYCLO,LOC,ATFD,FDP,LAA,label
24875,renderGVTTree,0,0,0,2,13,4,86,2,2,0.78,1
24876,PNGRed,1,1,0,19,32,28,131,8,1,0.77,1
24877,mouseReleased,0,0,0,2,16,7,34,3,1,0.77,0
24878,setRasterizingParameters,0,0,11,2,13,18,66,9,1,0.77,1
24879,unpause,0,0,1,1,5,2,8,1,1,0.75,0
24880,updateAnimatedValue,0,0,2,2,5,3,14,2,1,0.75,0
24881,endLength,0,0,1,0,4,1,4,1,1,0.75,0
24882,updateAnimatedValue,0,0,1,1,3,2,9,1,1,0.75,0
24883,updateAnimatedValue,0,0,1,1,3,2,9,1,1,0.75,0
24884,updateAnimatedValue,0,0,1,1,3,2,11,1,1,0.75,0
24885,updateAnimatedValue,0,0,1,1,3,2,9,1,1,0.75,0
24886,updateAnimatedValue,0,0,1,1,3,2,9,1,1,0.75,0
24887,handleEvent,0,0,3,1,7,3,15,1,1,0.75,0
24888,resolve,0,0,2,0,6,1,5,1,1,0.75,0
24889,resolve,0,0,2,0,6,1,5,1,1,0.75,0
24890,handleTimebaseUpdate,0,0,0,1,5,2,8,1,1,0.75,0
24891,TableIterator,1,1,0,2,5,3,10,2,1,0.75,0
24892,runImpl,0,0,3,2,19,9,96,4,1,0.75,1
24893,fireDOMSubtreeModifiedEvent,0,0,1,2,1,3,10,1,1,0.75,0
24894,parse,0,0,2,1,5,1,24,1,1,0.75,0
24895,flush,0,0,3,1,3,2,7,1,1,0.75,0
24896,fireShapeChangeEvent,0,0,3,2,6,1,13,1,1,0.75,0
24897,handleDOMNodeRemovedEvent,0,0,3,2,5,3,13,1,1,0.75,0
24898,dispose,0,0,2,0,4,1,7,1,1,0.75,0
24899,fireBBoxChangeEvent,0,0,3,2,6,1,13,1,1,0.75,0
24900,dispatchSVGLoad,0,0,7,2,20,2,81,1,1,0.75,0
24901,UpdateManager,2,2,4,2,17,3,33,4,2,0.75,0
24902,suspend,1,1,2,1,3,2,7,1,1,0.75,0
24903,BridgeException,3,3,2,1,6,3,7,1,1,0.75,0
24904,run,0,0,2,3,7,3,24,2,1,0.75,0
24905,initializeDynamicSupport,0,0,4,1,6,3,16,1,1,0.75,0
24906,createGraphicsNode,0,0,1,0,6,1,8,1,1,0.75,0
24907,checkIntersection,0,0,5,2,13,11,54,1,1,0.75,0
24908,handleAnimatedAttributeChanged,0,0,2,2,12,9,18,1,1,0.75,0
24909,handleAnimatedAttributeChanged,0,0,2,2,12,9,18,1,1,0.75,0
24910,getURLDone,0,0,1,0,6,1,6,1,1,0.75,0
24911,getURLDone,0,0,1,0,7,1,6,1,1,0.75,0
24912,fireGraphicsNodeChangeStarted,0,0,1,1,2,2,9,1,1,0.75,0
24913,paint,0,0,0,1,2,3,8,1,1,0.75,0
24914,set,0,0,1,2,4,2,12,1,1,0.75,0
24915,add,0,0,1,2,5,1,10,1,1,0.75,0
24916,removeDefinitionRef,2,2,0,0,9,1,11,1,1,0.75,0
24917,addDefinition,4,4,3,2,19,10,41,2,1,0.75,0
24918,getContentManager,4,4,1,3,8,4,19,1,1,0.75,0
24919,update,1,1,0,2,6,6,20,1,1,0.75,0
24920,addBindingListener,1,1,3,1,5,2,10,1,1,0.75,0
24921,removeBindingListener,0,0,3,1,6,2,9,1,1,0.75,0
24922,mouseExited,0,0,3,2,6,3,22,1,1,0.75,0
24923,Entry,1,1,0,0,8,1,6,1,1,0.75,0
24924,getGlyphCode,0,0,1,1,3,3,8,1,1,0.75,0
24925,computeGlyphLogicalBounds,0,0,5,6,50,39,187,2,1,0.75,1
24926,getGlyphTransform,0,0,1,1,3,3,7,1,1,0.75,0
24927,draw,0,0,1,2,9,4,11,1,1,0.75,0
24928,addWord,1,1,5,2,8,8,28,4,2,0.75,0
24929,JErrorPane,3,3,2,0,21,1,56,2,1,0.75,0
24930,createURISelectionPanel,0,0,3,0,11,1,30,1,1,0.75,0
24931,insertString,0,0,1,2,4,3,11,1,1,0.75,0
24932,remove,0,0,1,2,3,3,9,1,1,0.75,0
24933,showDebugger,1,1,2,1,3,3,6,1,1,0.75,0
24934,documentLoadingCompleted,0,0,2,1,5,2,10,1,1,0.75,0
24935,dragGestureRecognized,0,0,1,2,10,6,29,1,1,0.75,0
24936,drop,0,0,2,1,14,2,31,1,1,0.75,0
24937,showDialog,1,1,0,1,4,2,13,1,1,0.75,0
24938,canvasInit,0,0,2,2,4,1,15,1,1,0.75,0
24939,printComment,3,1,2,2,6,5,24,3,1,0.75,0
24940,printPI,1,1,1,2,6,3,13,1,1,0.75,0
24941,printEntityReference,1,1,1,1,6,4,11,1,1,0.75,0
24942,printCharacterEntityReference,1,1,2,4,10,6,21,2,1,0.75,0
24943,DOMGroupManager,2,1,1,1,8,3,16,1,1,0.75,0
24944,createEntry,0,0,1,3,11,3,26,1,1,0.75,0
24945,draw,0,0,3,2,8,3,15,1,1,0.75,0
24946,toSVG,0,0,1,3,13,7,32,1,1,0.75,0
24947,getEntryByTag,0,0,1,2,4,3,8,1,1,0.75,0
24948,findFeature,1,1,1,3,7,5,17,1,1,0.75,0
24949,findScript,1,1,1,2,6,4,15,1,1,0.75,0
24950,addObject,0,0,1,2,8,3,10,1,1,0.75,0
24951,canvasRendered,0,0,4,2,15,3,50,4,2,0.73,0
