Name,LOC,CYCLO,MAXNESTING,NOAV,ATFD,LAA,FDP,BrainMethod
jjtAccept,3,1,0,2,0,1,0,0
ASTModNode,3,1,0,0,0,1,0,0
ASTModNode,3,1,0,0,0,1,0,0
hashCode,18,3,2,2,0,1,0,0
equals,22,8,5,3,0,1,0,0
MethodCacheKey,8,3,1,0,0,1,0,0
getMethodName,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTMethod,3,1,0,0,0,1,0,0
ASTMethod,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
getValue,3,1,0,0,0,1,0,0
setValue,3,1,0,0,0,1,0,0
ASTEscape,3,1,0,0,0,1,0,0
ASTEscape,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTDivNode,3,1,0,0,0,1,0,0
ASTDivNode,3,1,0,0,0,1,0,0
toString,4,1,0,0,0,1,0,0
getDirectiveName,3,1,0,0,0,1,0,0
setDirectiveName,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTDirective,3,1,0,0,0,1,0,0
ASTDirective,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTMathNode,3,1,0,0,0,1,0,0
ASTMathNode,3,1,0,0,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
ASTAddNode,3,1,0,0,0,1,0,0
ASTAddNode,3,1,0,0,0,1,0,0
children,0,0,0,0,0,1,0,0
getParent,0,0,0,0,0,1,0,0
getChild,0,0,0,0,0,1,0,0
childrenAccept,0,0,0,0,0,1,0,0
jjtAccept,0,0,0,0,0,1,0,0
getTemplateName,3,1,0,0,0,1,0,0
getColumn,3,1,0,0,0,1,0,0
getLine,3,1,0,0,0,1,0,0
isInvalid,3,1,0,0,0,1,0,0
setInvalid,3,1,0,0,0,1,0,0
getInfo,3,1,0,0,0,1,0,0
setInfo,3,1,0,0,0,1,0,0
getType,3,1,0,0,0,1,0,0
literal,15,5,1,4,0,1,0,0
dump,12,6,3,5,0,1,0,0
toString,3,1,0,0,0,1,0,0
getXPathNodeName,3,1,0,0,0,1,0,0
childrenAccept,6,1,0,3,0,1,0,0
jjtAccept,3,1,0,2,0,1,0,0
getLastToken,3,1,0,0,0,1,0,0
getFirstToken,3,1,0,0,0,1,0,0
setFirstToken,3,1,0,0,0,1,0,0
jjtClose,11,5,1,1,0,1,0,0
jjtOpen,7,3,1,1,0,1,0,0
AbstractVmNode,5,1,0,0,0,1,0,0
AbstractVmNode,3,1,0,0,0,1,0,0
setFileName,3,1,0,1,0,1,0,0
getNextToken,3,1,0,1,0,1,0,0
VfTokenManager,3,1,0,1,0,1,0,0
VfSimpleCharStream,4,1,0,0,0,1,0,0
VfLanguageModule,4,1,0,0,0,1,0,0
